"","fap","annee","part","libelle","part_h"
"74","G1Z","2017-2019",11.6868606583446,"Techniciens et agents de maîtrise de la maintenance",88.3131393416554
"75","F3Z","2017-2019",10.9406716210442,"Ouvriers qualifiés du travail du bois et de l'ameublement",89.0593283789558
"76","B6Z","2017-2019",9.78589782632196,"Techniciens et agents de maîtrise du bâtiment et des travaux publics",90.214102173678
"77","J3Z","2017-2019",9.75135004654819,"Conducteurs de véhicules",90.2486499534518
"78","B3Z","2017-2019",9.02184160667936,"Ouvriers non qualifiés du second œuvre du bâtiment",90.9781583933206
"79","C2Z","2017-2019",8.11527724566032,"Techniciens et agents de maîtrise de l'électricité et de l'électronique",91.8847227543397
"80","A3Z","2017-2019",7.86799725957292,"Marins, pêcheurs, aquaculteurs",92.1320027404271
"81","G0A","2017-2019",7.31749973200344,"Ouvriers qualifiés de la maintenance",92.6825002679966
"82","B0Z","2017-2019",6.1315970274502,"Ouvriers non qualifiés du gros œuvre du bâtiment, des travaux publics, du béton et de l'extraction",93.8684029725498
"83","D2Z","2017-2019",3.91647193082495,"Ouvriers qualifiés travaillant par formage de métal",96.083528069175
"84","B4Z","2017-2019",3.38368884320169,"Ouvriers qualifiés du second œuvre du bâtiment",96.6163111567983
"85","B1Z","2017-2019",2.59514046465743,"Ouvriers qualifiés des travaux publics, du béton et de l'extraction",97.4048595353426
"86","B2Z","2017-2019",2.54616703026312,"Ouvriers qualifiés du gros œuvre du bâtiment",97.4538329697369
"87","G0B","2017-2019",2.21471237927251,"Ouvriers qualifiés de la réparation automobile",97.7852876207275
"88","B5Z","2017-2019",0.197905434401879,"Conducteurs d'engins du bâtiment et des travaux publics",99.8020945655981
